127.0.0.1, 2015-06-21 22:20:24, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.165008
127.0.0.1, 2015-06-21 22:20:47, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.105763
127.0.0.1, 2015-06-21 22:41:20, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.198599
127.0.0.1, 2015-06-21 22:45:19, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.114511
127.0.0.1, 2015-06-21 22:45:21, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.061432
127.0.0.1, 2015-06-21 22:46:01, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.074219
127.0.0.1, 2015-06-21 22:56:04, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.220514
127.0.0.1, 2015-06-21 23:05:24, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.240724
127.0.0.1, 2015-06-22 11:57:30, GET, /, HTTP/1.1, 303, 0.033263
127.0.0.1, 2015-06-22 11:57:31, GET, /welcome/default/index, HTTP/1.1, 200, 0.641146
127.0.0.1, 2015-06-22 11:57:31, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000724
127.0.0.1, 2015-06-22 11:57:31, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000634
127.0.0.1, 2015-06-22 11:57:31, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000724
127.0.0.1, 2015-06-22 11:57:31, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002185
127.0.0.1, 2015-06-22 11:57:31, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.022789
127.0.0.1, 2015-06-22 11:57:31, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.021174
127.0.0.1, 2015-06-22 11:57:31, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.019269
127.0.0.1, 2015-06-22 11:57:31, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.020011
127.0.0.1, 2015-06-22 11:57:31, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.024618
127.0.0.1, 2015-06-22 11:57:31, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000714
127.0.0.1, 2015-06-22 11:57:31, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000694
127.0.0.1, 2015-06-22 11:57:34, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000763
127.0.0.1, 2015-06-22 11:57:35, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000959
127.0.0.1, 2015-06-22 11:57:35, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001851
127.0.0.1, 2015-06-22 11:57:35, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.003129
127.0.0.1, 2015-06-22 11:57:36, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 200, 0.000802
127.0.0.1, 2015-06-22 11:57:36, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001682
127.0.0.1, 2015-06-22 11:57:36, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000972
127.0.0.1, 2015-06-22 11:57:41, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.734825
127.0.0.1, 2015-06-22 11:57:41, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.738093
127.0.0.1, 2015-06-22 11:57:41, POST, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.738311
127.0.0.1, 2015-06-22 12:03:28, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.163178
127.0.0.1, 2015-06-22 12:03:28, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.174136
127.0.0.1, 2015-06-22 12:03:28, POST, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.185095
127.0.0.1, 2015-06-22 12:03:53, GET, /, HTTP/1.1, 303, 0.003792
127.0.0.1, 2015-06-22 12:03:53, GET, /welcome/default/index, HTTP/1.1, 200, 0.275304
127.0.0.1, 2015-06-22 12:04:07, POST, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.557877
127.0.0.1, 2015-06-22 12:04:07, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.569026
127.0.0.1, 2015-06-22 12:04:07, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.580818
127.0.0.1, 2015-06-22 12:04:44, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.121608
127.0.0.1, 2015-06-22 12:04:44, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.137152
127.0.0.1, 2015-06-22 12:04:44, POST, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.140782
127.0.0.1, 2015-06-22 12:05:35, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.071455
127.0.0.1, 2015-06-22 12:05:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000422
